,Gene,Reaction,Name,ModelSEED_id,MetaNetX,KEGG_id,ecNumber,BIGG_id,Substrates,Substrate Name,Substrate SMILES
0,585397.9.1830_56.peg,1HIBUP_S_GLCAASE,1-hydroxy S-ibuprofen beta-glucuronidase,None,None,None,[None],None,"['1hibupglu_S[c]', 'h2o[c]']","['1-hydroxy S-ibuprofen-glucuronide', 'Water']","[None, 'O']"
1,585397.9.1830_56.peg,1HMDGLUC_GLCAASE,1-OH-midazolam-glucuronide beta-glucuronidase,None,None,None,[None],None,"['1hmdgluc[c]', 'h2o[c]']","['1-OH-midazolam-glucuronide', 'Water']","[None, 'O']"
2,585397.9.1830_56.peg,2HATVACIDGLUC_GLCAASE,2-hydroxy-atorvastatin-acyl-glucuronide beta-glucuronidase,None,None,None,[None],None,"['2hatvacidgluc[c]', 'h2o[c]']","['2-hydroxy-atorvastatin-acyl-glucuronide', 'Water']","[None, 'O']"
3,585397.9.1830_56.peg,2HATVLACGLUC_GLCAASE,2-hydroxy-atorvastatin-lactone-glucuronide beta-glucuronidase,None,None,None,[None],None,"['2hatvlacgluc[c]', 'h2o[c]']","['2-hydroxy-atorvastatin-lactone-glucuronide', 'Water']","[None, 'O']"
4,585397.9.1830_56.peg,2HIBUP_S_GLCAASE,2-hydroxy-S-ibuprofen beta-glucuronidase,None,None,None,[None],None,"['2hibupglu_S[c]', 'h2o[c]']","['2-hydroxy S-ibuprofen-glucuronide', 'Water']","[None, 'O']"
5,585397.9.1830_56.peg,2OH_CBZ_GLC_GLCAASE,2-Hydroxy Carbamazepine Glucuronide beta-glucuronidase,None,None,None,[None],None,"['2oh_cbz_glc[c]', 'h2o[c]']","['2-Hydroxy Carbamazepine Glucuronide', 'Water']","[None, 'O']"
6,585397.9.1830_56.peg,2OH_MTZ_GLC_GLCAASE,2-Hydroxymetronidazole Glucuronide beta-glucuronidase,None,None,None,[None],None,"['2oh_mtz_glc[c]', 'h2o[c]']","['2-Hydroxymetronidazole Glucuronide', 'Water']","[None, 'O']"
7,585397.9.1830_56.peg,3HIBUP_S_GLCAASE,3-hydroxy S-ibuprofen beta-glucuronidase,None,None,None,[None],None,"['3hibupglu_S[c]', 'h2o[c]']","['3-hydroxy S-ibuprofen-glucuronide', 'Water']","[None, 'O']"
8,585397.9.1830_56.peg,3OH_CBZ_GLC_GLCAASE,3-Hydroxy Carbamazepine Glucuronide beta-glucuronidase,None,None,None,[None],None,"['3oh_cbz_glc[c]', 'h2o[c]']","['3-Hydroxy Carbamazepine Glucuronide', 'Water']","[None, 'O']"
9,585397.9.1830_56.peg,3OH_DLOR_GLC_GLCAASE,3-Hydroxydesloratadine Glucuronide beta-glucuronidase,None,None,None,[None],None,"['3oh_dlor_glc[c]', 'h2o[c]']","['3-Hydroxydesloratadine Glucuronide', 'Water']","[None, 'O']"
10,585397.9.1830_56.peg,3OH_MDEA_GLC_GLCAASE,3-Hydroxy N-Desethylamiodarone Glucuronide (3-Hydroxy_MDEA_Glc) (M15) beta-glucuronidase,None,None,None,[None],None,"['3oh_mdea_glc[c]', 'h2o[c]']","['3-Hydroxy N-Desethylamiodarone Glucuronide (3-Hydroxy_MDEA_Glc) (M15)', 'Water']","[None, 'O']"
11,585397.9.1830_56.peg,3OH_MXN_GLC_GLCAASE,3-Hydroxymorphinan O-Glucuronide beta-glucuronidase,None,None,None,[None],None,"['3oh_mxn_glc[c]', 'h2o[c]']","['3-Hydroxymorphinan O-Glucuronide', 'Water']","[None, 'O']"
12,585397.9.1830_56.peg,4DH_TPNO_1GLC_GLCAASE,4-Dehydroxytempol 1-O-Glucuronide beta-glucuronidase,None,None,None,[None],None,"['4dh_tpno_1glc[c]', 'h2o[c]']","['4-Dehydroxytempol 1-O-Glucuronide', 'Water']","[None, 'O']"
13,585397.9.1830_56.peg,4HMDGLUC_GLCAASE,4-OH-midazolam-glucuronide beta-glucuronidase,None,None,None,[None],None,"['4hmdgluc[c]', 'h2o[c]']","['4-OH-midazolam-glucuronide', 'Water']","[None, 'O']"
14,585397.9.1830_56.peg,4OH_DCF_GLC_GLCAASE,4-Hydroxydiclofenac Glucuronide beta-glucuronidase,None,None,None,[None],None,"['4oh_dcf_glc[c]', 'h2o[c]']","['4-Hydroxydiclofenac Glucuronide', 'Water']","[None, 'O']"
15,585397.9.1830_56.peg,4OH_KP_GLC_GLCAASE,4-Hydroxybenzyl Ketoprofen Glucuronide beta-glucuronidase,None,None,None,[None],None,"['4oh_kp_glc[c]', 'h2o[c]']","['4-Hydroxybenzyl Ketoprofen Glucuronide', 'Water']","[None, 'O']"
16,585397.9.1830_56.peg,4OH_LEVOLE_GLC_GLCAASE,4-Hydroxy Levamisole Glucuronide beta-glucuronidase,None,None,None,[None],None,"['4oh_levole_glc[c]', 'h2o[c]']","['4-Hydroxy Levamisole Glucuronide', 'Water']","[None, 'O']"
17,585397.9.1830_56.peg,4OH_METH_GLC_GLCAASE,4-Hydroxymethamphetamine Glucuronide beta-glucuronidase,None,None,None,[None],None,"['4oh_meth_glc[c]', 'h2o[c]']","['4-Hydroxymethamphetamine Glucuronide', 'Water']","[None, 'O']"
18,585397.9.1830_56.peg,4OH_PROPL_GLC_GLCAASE,4-Hydroxypropranolol Glucuronide beta-glucuronidase,None,None,None,[None],None,"['4oh_propl_glc[c]', 'h2o[c]']","['4-Hydroxypropranolol Glucuronide', 'Water']","['CC(C)NCC(COC1=CC=C(C2=CC=CC=C21)OC3C(C(C(C(O3)C(=O)O)O)O)O)O', 'O']"
19,585397.9.1830_56.peg,4OH_TRZ_GLC_GLCAASE,4-Hydroxy Triazolam Glucuronide beta-glucuronidase,None,None,None,[None],None,"['4oh_trz_glc[c]', 'h2o[c]']","['4-Hydroxy Triazolam Glucuronide', 'Water']","[None, 'O']"
20,585397.9.1830_56.peg,4OH_VCZ_GLC_GLCAASE,4-Hydroxyvoriconazole Glucuronide beta-glucuronidase,None,None,None,[None],None,"['4oh_vcz_glc[c]', 'h2o[c]']","['4-Hydroxyvoriconazole Glucuronide', 'Water']","[None, 'O']"
21,585397.9.1830_56.peg,5OHFVSGLU_GLCAASE,5-hydroxy-fluvastatin-glucuronide beta-glucuronidase,None,None,None,[None],None,"['5ohfvsglu[c]', 'h2o[c]']","['5-hydroxy-fluvastatin-glucuronide', 'Water']","[None, 'O']"
22,585397.9.1830_56.peg,5OH_SULFP_GLC_GLCAASE,5-Hydroxy-Sulfapyridine-O-Glucuronide beta-glucuronidase,None,None,None,[None],None,"['5oh_sulfp_glc[c]', 'h2o[c]']","['5-Hydroxy-Sulfapyridine-O-Glucuronide', 'Water']","[None, 'O']"
23,585397.9.1830_56.peg,6BHGLZGLC_GLCAASE,6-beta-OH-gliclazide-glucuronide beta-glucuronidase,None,None,None,[None],None,"['6bhglzglc[c]', 'h2o[c]']","['6-beta-OH-gliclazide-glucuronide', 'Water']","[None, 'O']"
24,585397.9.1830_56.peg,6OHFVSGLU_GLCAASE,6-hydroxy-fluvastatin-glucuronide beta-glucuronidase,None,None,None,[None],None,"['6ohfvsglu[c]', 'h2o[c]']","['6-hydroxy-fluvastatin-glucuronide', 'Water']","[None, 'O']"
25,585397.9.1830_56.peg,7BHGLZ_GLCAASE,7-beta-OH-gliclazide beta-glucuronidase,None,None,None,[None],None,"['7bhglzglc[c]', 'h2o[c]']","['7-beta-OH-gliclazide-glucuronide', 'Water']","[None, 'O']"
