,Gene,Reaction,Name,ModelSEED_id,MetaNetX,KEGG_id,ecNumber,BIGG_id,Substrates,Substrate Name,Substrate SMILES
0,g.191.peg.716,1P4H2CBXLAH,1-Pyrroline-4-hydroxy-2-carboxylate aminohydrolase (decyclizing),rxn01635,MNXR93752,R02280,['3.5.4.22'],None,"['1p4h2cbxl[c]', 'h2o[c]', 'h[c]']","['1-Pyrroline-4-hydroxy-2-carboxylate', 'Water', 'proton']","['C1C(CN=C1C(=O)O)O', 'O', '[H+]']"
1,g.191.peg.716,DHPPDA,diaminohydroxyphosphoribosylaminopyrimidine deaminase,rxn02475,MNXR82287,R03459,"[None, ['3.5.4.26'], None]",DHPPDA; DHPPDA2; RIB7_1,"['25dhpp[c]', 'h2o[c]', 'h[c]']","['2,5-Diamino-6-hydroxy-4-(5-phosphoribosylamino)-pyrimidine', 'Water', 'proton']","['C(C1C(C(C(O1)NC2=C(C(=O)NC(=N2)N)N)O)O)OP(=O)([O-])[O-]', 'O', '[H+]']"
2,g.191.peg.13,2DHPL,2 dehydropantoate formaldehyde lyase 3 methyl 2 oxobutanoate forming,rxn00905,MNXR7147,R01216,[None],None,['2dhp[c]'],['2-Dehydropantoate'],['CC(C)(CO)C(=O)C(=O)O']
3,g.191.peg.13,FGLU,formimidoylglutamase,rxn01639,MNXR33152,R02285,[['3.5.3.8']],FGLU,"['forglu[c]', 'h2o[c]', 'h[c]']","['N-Formimidoyl-L-glutamate', 'Water', 'proton']","['C(CC(=O)O)C(C(=O)O)N=CN', 'O', '[H+]']"
4,g.191.peg.300,2HBO,2-Hydroxybutyrate:NAD+ Oxidoreductase,rxn00741,MNXR94796,R01000,"[['1.1.1.27'], ['1.1.1.27']]",2HBO; LDH2,"['2hb[c]', 'nad[c]']","['2-Hydroxybutyrate', 'Nicotinamide adenine dinucleotide']","['CCC(C(=O)O)O', 'C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N']"
5,g.191.peg.300,LDH_L,L-Lactate Dehydrogenase,rxn00499,MNXR101040,R00703,[['1.1.1.27']],LDH_L,"['lac_L[c]', 'nad[c]']","['L-lactate', 'Nicotinamide adenine dinucleotide']","['CC(C(=O)[O-])O', 'C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N']"
6,g.191.peg.300,L_LACD,"L-Lactate dehydrogenase, irreversible",None,None,None,[None],None,"['ficytC[c]', 'lac_L[c]']","['Ferricytochrome c', 'L-lactate']","[None, 'CC(C(=O)[O-])O']"
7,g.191.peg.300,L_LACD2,L-Lactate dehydrogenase (ubiquinone),rxn08792,MNXR55668,None,"[None, ['1.1.2.3']]",L-LACD2; L_LACD2,"['lac_L[c]', 'q8[c]']","['L-lactate', 'Ubiquinone-8']","['CC(C(=O)[O-])O', 'CC1=C(C(=O)C(=C(C1=O)OC)OC)CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C']"
8,g.191.peg.300,L_LACD3,L-Lactate dehydrogenase (menaquinone),rxn08793,MNXR69304,None,"[None, ['1.1.2.3']]",L-LACD3; L_LACD3,"['lac_L[c]', 'mqn8[c]']","['L-lactate', 'Menaquinone 8']","['CC(C(=O)[O-])O', 'CC1=C(C(=O)C2=CC=CC=C2C1=O)CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C']"
9,g.191.peg.300,MCLOR,3-Mercaptolactate:NAD+ Oxidoreductase,rxn02228,MNXR69411,R03104,['1.1.1.27'],None,"['mercplac[c]', 'nad[c]']","['3-Mercaptolactate', 'Nicotinamide adenine dinucleotide']","['C(C(C(=O)O)O)S', 'C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N']"
10,190304.8.242.peg,2IMZS,2-iminoacetate synthase,rxn42709,None,None,[None],None,"['amet[c]', 'nadph[c]', 'tyr_L[c]']","['S-Adenosyl-L-methionine', 'Nicotinamide adenine dinucleotide phosphate - reduced', 'L-tyrosine']","['C[S+](CCC(C(=O)[O-])N)CC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O', 'C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O', 'C1=CC(=CC=C1CC(C(=O)O)N)O']"
