,Gene,Reaction,Name,ModelSEED_id,MetaNetX,KEGG_id,ecNumber,BIGG_id,Substrates,Substrate Name,Substrate SMILES
0,411479.1.3062_56.peg,1HIBUP_S_GLCAASE,1-hydroxy S-ibuprofen beta-glucuronidase,None,None,None,[None],None,"['1hibupglu_S[c]', 'h2o[c]']","['1-hydroxy S-ibuprofen-glucuronide', 'Water']","[None, 'O']"
1,411479.1.3062_56.peg,1HMDGLUC_GLCAASE,1-OH-midazolam-glucuronide beta-glucuronidase,None,None,None,[None],None,"['1hmdgluc[c]', 'h2o[c]']","['1-OH-midazolam-glucuronide', 'Water']","[None, 'O']"
2,411479.1.3062_56.peg,2HATVACIDGLUC_GLCAASE,2-hydroxy-atorvastatin-acyl-glucuronide beta-glucuronidase,None,None,None,[None],None,"['2hatvacidgluc[c]', 'h2o[c]']","['2-hydroxy-atorvastatin-acyl-glucuronide', 'Water']","[None, 'O']"
3,411479.1.3062_56.peg,2HATVLACGLUC_GLCAASE,2-hydroxy-atorvastatin-lactone-glucuronide beta-glucuronidase,None,None,None,[None],None,"['2hatvlacgluc[c]', 'h2o[c]']","['2-hydroxy-atorvastatin-lactone-glucuronide', 'Water']","[None, 'O']"
4,411479.1.3062_56.peg,2HIBUP_S_GLCAASE,2-hydroxy-S-ibuprofen beta-glucuronidase,None,None,None,[None],None,"['2hibupglu_S[c]', 'h2o[c]']","['2-hydroxy S-ibuprofen-glucuronide', 'Water']","[None, 'O']"
5,411479.1.3062_56.peg,2OH_CBZ_GLC_GLCAASE,2-Hydroxy Carbamazepine Glucuronide beta-glucuronidase,None,None,None,[None],None,"['2oh_cbz_glc[c]', 'h2o[c]']","['2-Hydroxy Carbamazepine Glucuronide', 'Water']","[None, 'O']"
6,411479.1.3062_56.peg,2OH_MTZ_GLC_GLCAASE,2-Hydroxymetronidazole Glucuronide beta-glucuronidase,None,None,None,[None],None,"['2oh_mtz_glc[c]', 'h2o[c]']","['2-Hydroxymetronidazole Glucuronide', 'Water']","[None, 'O']"
7,411479.1.3062_56.peg,3HIBUP_S_GLCAASE,3-hydroxy S-ibuprofen beta-glucuronidase,None,None,None,[None],None,"['3hibupglu_S[c]', 'h2o[c]']","['3-hydroxy S-ibuprofen-glucuronide', 'Water']","[None, 'O']"
8,411479.1.3062_56.peg,3OH_CBZ_GLC_GLCAASE,3-Hydroxy Carbamazepine Glucuronide beta-glucuronidase,None,None,None,[None],None,"['3oh_cbz_glc[c]', 'h2o[c]']","['3-Hydroxy Carbamazepine Glucuronide', 'Water']","[None, 'O']"
9,411479.1.3062_56.peg,3OH_DLOR_GLC_GLCAASE,3-Hydroxydesloratadine Glucuronide beta-glucuronidase,None,None,None,[None],None,"['3oh_dlor_glc[c]', 'h2o[c]']","['3-Hydroxydesloratadine Glucuronide', 'Water']","[None, 'O']"
10,411479.1.3062_56.peg,3OH_MDEA_GLC_GLCAASE,3-Hydroxy N-Desethylamiodarone Glucuronide (3-Hydroxy_MDEA_Glc) (M15) beta-glucuronidase,None,None,None,[None],None,"['3oh_mdea_glc[c]', 'h2o[c]']","['3-Hydroxy N-Desethylamiodarone Glucuronide (3-Hydroxy_MDEA_Glc) (M15)', 'Water']","[None, 'O']"
