,Gene,Reaction,Name,ModelSEED_id,MetaNetX,KEGG_id,ecNumber,BIGG_id,Substrates,Substrate Name,Substrate SMILES
0,WP_013904118.1,22IDPOR,"2,2-iminodipropanoate:NAD+ oxidoreductase (L-alanine-forming)",rxn00280,None,R00398,[None],None,"['alnpn[c]', 'h2o[c]', 'nad[c]']","['Alanopine', 'Water', 'Nicotinamide adenine dinucleotide']","['CC(C(=O)O)NC(C)C(=O)O', 'O', 'C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N']"
1,HMPREF0833_RS09600,23DHMPO,"(R)-2,3-Dihydroxy-3-methylpentanoate:NADP+ oxidoreductase",rxn03435,MNXR83171,R05068,['1.1.1.86'],None,"['23dhmp[c]', 'nadp[c]']","['(R)-2,3-Dihydroxy-3-methylpentanoate', 'Nicotinamide adenine dinucleotide phosphate']","['CCC(C)(C(C(=O)O)O)O', 'C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O)C(=O)N']"
2,HMPREF0833_RS09600,2AHBUTI,(S)-2-Aceto-2-hydroxybutanoate isomerase,rxn03436,MNXR76597,R05069,"['1.1.1.86, 5.4.99.3']",None,['2ahbut[c]'],['(S)-2-Aceto-2-hydroxybutanoate'],['CCC(C(=O)C)(C(=O)O)O']
3,HMPREF0833_RS09600,DPRr,2 dehydropantoate 2 reductase,rxn01790,MNXR1788,R02472,"[['1.1.1.169'], ['1.1.1.169'], None, None]",DPR; DPRm; ILV5_3; PAN5,"['2dhp[c]', 'h[c]', 'nadph[c]']","['2-Dehydropantoate', 'proton', 'Nicotinamide adenine dinucleotide phosphate - reduced']","['CC(C)(CO)C(=O)C(=O)O', '[H+]', 'C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O']"
4,WP_003010246.1,23DHMPO,"(R)-2,3-Dihydroxy-3-methylpentanoate:NADP+ oxidoreductase",rxn03435,MNXR83171,R05068,['1.1.1.86'],None,"['23dhmp[c]', 'nadp[c]']","['(R)-2,3-Dihydroxy-3-methylpentanoate', 'Nicotinamide adenine dinucleotide phosphate']","['CCC(C)(C(C(=O)O)O)O', 'C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O)C(=O)N']"
5,WP_003010246.1,2AHBUTI,(S)-2-Aceto-2-hydroxybutanoate isomerase,rxn03436,MNXR76597,R05069,"['1.1.1.86, 5.4.99.3']",None,['2ahbut[c]'],['(S)-2-Aceto-2-hydroxybutanoate'],['CCC(C(=O)C)(C(=O)O)O']
6,WP_003010246.1,DPRr,2 dehydropantoate 2 reductase,rxn01790,MNXR1788,R02472,"[['1.1.1.169'], ['1.1.1.169'], None, None]",DPR; DPRm; ILV5_3; PAN5,"['2dhp[c]', 'h[c]', 'nadph[c]']","['2-Dehydropantoate', 'proton', 'Nicotinamide adenine dinucleotide phosphate - reduced']","['CC(C)(CO)C(=O)C(=O)O', '[H+]', 'C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O']"
7,760570.3.1875.peg,26DAPLLATi,"L,L-diaminopimelate aminotransferase (irreversible)",None,None,None,[None],None,"['glu_L[c]', 'h2o[c]', 'h[c]', 'thdp[c]']","['L-glutamate', 'Water', 'proton', '2,3,4,5-Tetrahydrodipicolinate']","['C(CC(=O)O)C(C(=O)O)N', 'O', '[H+]', 'C1CC(N=C(C1)C(=O)O)C(=O)O']"
8,HMPREF0833_RS07505,2DHPL,2 dehydropantoate formaldehyde lyase 3 methyl 2 oxobutanoate forming,rxn00905,MNXR7147,R01216,[None],None,['2dhp[c]'],['2-Dehydropantoate'],['CC(C)(CO)C(=O)C(=O)O']
9,HMPREF0833_RS07505,FGLU,formimidoylglutamase,rxn01639,MNXR33152,R02285,[['3.5.3.8']],FGLU,"['forglu[c]', 'h2o[c]', 'h[c]']","['N-Formimidoyl-L-glutamate', 'Water', 'proton']","['C(CC(=O)O)C(C(=O)O)N=CN', 'O', '[H+]']"
10,HMPREF0833_RS00645,2HBO,2-Hydroxybutyrate:NAD+ Oxidoreductase,rxn00741,MNXR94796,R01000,"[['1.1.1.27'], ['1.1.1.27']]",2HBO; LDH2,"['2hb[c]', 'nad[c]']","['2-Hydroxybutyrate', 'Nicotinamide adenine dinucleotide']","['CCC(C(=O)O)O', 'C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N']"
11,HMPREF0833_RS00645,LDH_L,L-Lactate Dehydrogenase,rxn00499,MNXR101040,R00703,[['1.1.1.27']],LDH_L,"['lac_L[c]', 'nad[c]']","['L-lactate', 'Nicotinamide adenine dinucleotide']","['CC(C(=O)[O-])O', 'C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N']"
12,HMPREF0833_RS00645,L_LACD,"L-Lactate dehydrogenase, irreversible",None,None,None,[None],None,"['ficytC[c]', 'lac_L[c]']","['Ferricytochrome c', 'L-lactate']","[None, 'CC(C(=O)[O-])O']"
