,Gene,Reaction,Name,ModelSEED_id,MetaNetX,KEGG_id,ecNumber,BIGG_id,Substrates,Substrate Name,Substrate SMILES
0,BUB10_RS07135,23DHMPO,"(R)-2,3-Dihydroxy-3-methylpentanoate:NADP+ oxidoreductase",rxn03435,MNXR83171,R05068,['1.1.1.86'],None,"['23dhmp[c]', 'nadp[c]']","['(R)-2,3-Dihydroxy-3-methylpentanoate', 'Nicotinamide adenine dinucleotide phosphate']","['CCC(C)(C(C(=O)O)O)O', 'C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O)C(=O)N']"
1,BUB10_RS07135,2AHBUTI,(S)-2-Aceto-2-hydroxybutanoate isomerase,rxn03436,MNXR76597,R05069,"['1.1.1.86, 5.4.99.3']",None,['2ahbut[c]'],['(S)-2-Aceto-2-hydroxybutanoate'],['CCC(C(=O)C)(C(=O)O)O']
2,BUB10_RS07135,ALACI,(S)-2-Acetolactate isomerase,rxn02187,MNXR74397,R03052,"['5.4.99.3,1.1.1.86']",None,['alac_S[c]'],['(S)-2-Acetolactate'],['CC(=O)C(C)(C(=O)O)O']
3,BUB10_RS07135,DPRr,2 dehydropantoate 2 reductase,rxn01790,MNXR1788,R02472,"[['1.1.1.169'], ['1.1.1.169'], None, None]",DPR; DPRm; ILV5_3; PAN5,"['2dhp[c]', 'h[c]', 'nadph[c]']","['2-Dehydropantoate', 'proton', 'Nicotinamide adenine dinucleotide phosphate - reduced']","['CC(C)(CO)C(=O)C(=O)O', '[H+]', 'C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O']"
4,BUB10_RS07135,KARA1,"ketol-acid reductoisomerase (2,3-dihydroxy-3-methylbutanoate)",rxn02186,MNXR69294,R03051,['1.1.1.86'],None,"['23dhmb[c]', 'nadp[c]']","['(R)-2,3-Dihydroxy-3-methylbutanoate', 'Nicotinamide adenine dinucleotide phosphate']","['CC(C)(C(C(=O)[O-])O)O', 'C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O)C(=O)N']"
5,BUB10_RS07135,KARA3,"ketol-acid reductoisomerase (2,3-dihydroxy-3-methylbutanoate)",rxn03068,MNXR74267,R04440,['1.1.1.86'],None,"['23dhmb[c]', 'nadp[c]']","['(R)-2,3-Dihydroxy-3-methylbutanoate', 'Nicotinamide adenine dinucleotide phosphate']","['CC(C)(C(C(=O)[O-])O)O', 'C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O)C(=O)N']"
6,BUB10_RS08385,23PDE2,"2,3-Cyclic UMP 3-nucleotidohydrolase",rxn02522,MNXR34,R03538,"[['3.1.4.16'], ['3.1.4.16']]",23CN2P2; 23PDE2pp,"['23cump[c]', 'h2o[c]']","[""2',3'-cyclic UMP(1-)"", 'Water']","['C1=CN(C(=O)NC1=O)C2C3C(C(O2)CO)OP(=O)(O3)[O-]', 'O']"
7,BUB10_RS08385,23PDE4,"2,3-Cyclic CMP 3-nucleotidohydrolase",rxn02762,MNXR35,R03929,"[['3.1.4.16'], ['3.1.4.16']]",23CN2P3; 23PDE4pp,"['23ccmp[c]', 'h2o[c]']","[""2',3'-Cyclic CMP"", 'Water']","['C1=CN(C(=O)N=C1N)C2C3C(C(O2)CO)OP(=O)(O3)[O-]', 'O']"
8,BUB10_RS08385,23PDE7,"2,3-Cyclic AMP 3-nucleotidohydrolase",rxn02521,MNXR36,R03537,"[['3.1.4.16'], ['3.1.4.16']]",23CN2P1; 23PDE7pp,"['23camp[c]', 'h2o[c]']","[""2',3'-Cyclic AMP"", 'Water']","['C1=NC(=C2C(=N1)N(C=N2)C3C4C(C(O3)CO)OP(=O)(O4)O)N', 'O']"
9,BUB10_RS08385,23PDE9,"2,3-Cyclic GMP 3-nucleotidohydrolase",rxn03483,MNXR37,R05135,"[['3.1.4.16'], ['3.1.4.16']]",23CN2P4; 23PDE9pp,"['23cgmp[c]', 'h2o[c]']","[""2',3'-Cyclic GMP"", 'Water']","['C1=NC2=C(N1C3C4C(C(O3)CO)OP(=O)(O4)O)N=C(NC2=O)N', 'O']"
10,BUB10_RS02070,2HMCOXT,4-oxalocrotonate tautomerase,rxn02788,MNXR59574,R03966,[['5.3.2.6']],4OT,['2hmc[c]'],['2-Hydroxymuconate'],['C(=CC(=O)O)C=C(C(=O)[O-])[O-]']
11,BUB10_RS09010,2MBCOATA,2-methylbutanoyl-CoA[acyl-carrier-protein] transferase,rxn05358,MNXR53357,None,['2.3.1.180'],None,"['2mbcoa[c]', 'ACP[c]']","['2-methylbutanoyl-CoA(4-)', 'acyl carrier protein']","['CCC(C)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O', None]"
12,BUB10_RS09010,AIHPDCOATA,14-methyl-hexa-decanoyl-ACP[acyl-carrier-protein] transferase,rxn05452,MNXR53361,None,['2.3.1.180'],None,"['14mpalmACP[c]', 'coa[c]']","['14-methyl-hexa-decanoyl-ACP', 'Coenzyme A']","[None, 'CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCS)O']"
