,Reaction,Name,ModelSEED_id,MetaNetX,KEGG_id,ecNumber,BIGG_id,Substrates,KEGG_id2,Substrate Name,Substrate SMILE
0,15DAPtex,"1,5-Diaminopentane diffusion extracellular to periplasm",rxn08305,None,None,None,DAPtex,['15dap[e]'],None,"['1,5-Diaminopentane']",['C(CCN)CCN']
1,15DAPtpp,"1,5-Diaminopentane (cadaverine) export, periplasmatic",None,None,None,None,None,['15dap[c]'],None,"['1,5-Diaminopentane']",['C(CCN)CCN']
2,1HIBUPGLU_St2pp,"Glucuronate transport in via proton symport (in),1-hydroxy S-ibuprofen-glucuronide, periplasmatic",None,None,None,None,None,"['1hibupglu_S[p]', 'h[p]']",None,"['1-hydroxy S-ibuprofen-glucuronide', 'proton']","[None, '[H+]']"
3,1HIBUPGLU_Stex,1-hydroxy S-ibuprofen-glucuronide diffusion extracellular to periplasm,None,None,None,None,None,['1hibupglu_S[e]'],None,['1-hydroxy S-ibuprofen-glucuronide'],[None]
4,1HIBUP_S_GLCAASE,1-hydroxy S-ibuprofen beta-glucuronidase,None,None,None,None,None,"['1hibupglu_S[c]', 'h2o[c]']",None,"['1-hydroxy S-ibuprofen-glucuronide', 'Water']","[None, 'O']"
5,1HIBUP_Stepp,"beta-glucuronidase reaction product export,1-hydroxy S-ibuprofen, periplasmatic",None,None,None,None,None,['1hibup_S[c]'],None,['1-hydroxy S-ibuprofen'],[None]
6,1HIBUP_Stex,1-hydroxy S-ibuprofen diffusion extracellular to periplasm,None,None,None,None,None,['1hibup_S[e]'],None,['1-hydroxy S-ibuprofen'],[None]
7,1HMDGLUC_GLCAASE,1-OH-midazolam-glucuronide beta-glucuronidase,None,None,None,None,None,"['1hmdgluc[c]', 'h2o[c]']",None,"['1-OH-midazolam-glucuronide', 'Water']","[None, 'O']"
8,1HMDGLUCt2pp,"Glucuronate transport in via proton symport 1-OH-midazolam-glucuronide, periplasmatic",None,None,None,None,None,"['1hmdgluc[p]', 'h[p]']",None,"['1-OH-midazolam-glucuronide', 'proton']","[None, '[H+]']"
9,1HMDGLUCtex,1-OH-midazolam-glucuronide diffusion extracellular to periplasm,None,None,None,None,None,['1hmdgluc[e]'],None,['1-OH-midazolam-glucuronide'],[None]
10,1OHMDZtepp,"beta-glucuronidase reaction product export 1-OH-midazolam, periplasmatic",None,None,None,None,None,['1ohmdz[c]'],None,['1-OH-midazolam'],[None]
11,1OHMDZtex,1-OH-midazolam diffusion extracellular to periplasm,None,None,None,None,None,['1ohmdz[e]'],None,['1-OH-midazolam'],[None]
12,1P4H2CBXLAH,1-Pyrroline-4-hydroxy-2-carboxylate aminohydrolase (decyclizing),rxn01635,MNXR93752,None,3.5.4.22,None,"['1p4h2cbxl[c]', 'h2o[c]', 'h[c]']",R02280,"['1-Pyrroline-4-hydroxy-2-carboxylate', 'Water', 'proton']","['C1C(CN=C1C(=O)O)O', 'O', '[H+]']"
13,23DHMPO,"(R)-2,3-Dihydroxy-3-methylpentanoate:NADP+ oxidoreductase",rxn03435,MNXR83171,None,1.1.1.86,None,"['23dhmp[c]', 'nadp[c]']",R05068,"['(R)-2,3-Dihydroxy-3-methylpentanoate', 'Nicotinamide adenine dinucleotide phosphate']","['CCC(C)(C(C(=O)O)O)O', 'C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O)C(=O)N']"
14,23PDE2,"2,3-Cyclic UMP 3-nucleotidohydrolase",rxn02522,MNXR34,None,3.1.4.16,23CN2P2; 23PDE2pp,"['23cump[c]', 'h2o[c]']",R03538,"['2,3-cyclic UMP(1-)', 'Water']","[None, 'O']"
15,23PDE4,"2,3-Cyclic CMP 3-nucleotidohydrolase",rxn02762,MNXR35,None,3.1.4.16,23CN2P3; 23PDE4pp,"['23ccmp[c]', 'h2o[c]']",R03929,"['2,3-Cyclic CMP', 'Water']","[None, 'O']"
16,23PDE7,"2,3-Cyclic AMP 3-nucleotidohydrolase",rxn02521,MNXR36,None,3.1.4.16,23CN2P1; 23PDE7pp,"['23camp[c]', 'h2o[c]']",R03537,"['2,3-Cyclic AMP', 'Water']","[None, 'O']"
17,23PDE9,"2,3-Cyclic GMP 3-nucleotidohydrolase",rxn03483,MNXR37,None,3.1.4.16,23CN2P4; 23PDE9pp,"['23cgmp[c]', 'h2o[c]']",R05135,"['2,3-Cyclic GMP', 'Water']","[None, 'O']"
18,2AHBUTI,(S)-2-Aceto-2-hydroxybutanoate isomerase,rxn03436,MNXR76597,None,"1.1.1.86, 5.4.99.3",None,['2ahbut[c]'],R05069,['(S)-2-Aceto-2-hydroxybutanoate'],['CCC(C(=O)C)(C(=O)O)O']
19,2DDGLCNtex,2-Dehydro-3-deoxy-D-gluconate diffusion extracellular to periplasm,rxn08320,None,None,None,DDGLCNtex,['2ddglcn[e]'],None,['2-Dehydro-3-deoxy-D-gluconate'],['C(C(C(CO)O)O)C(=O)C(=O)[O-]']
20,2DDPENGAL,2-dehydro-3-deoxy-D-pentonate aldolase,rxn01307,None,None,None,None,['2ddpent[c]'],R01784,['2-Dehydro-3-deoxy-L-pentonate'],['C(C(CO)O)C(=O)C(=O)O']
21,2DDPENTHL,2-Dehydro-3-deoxy-L-arabinonate hydro-lyase,rxn01633,MNXR7131,None,4.2.1.43,None,['2ddpent[c]'],R02278,['2-Dehydro-3-deoxy-L-pentonate'],['C(C(CO)O)C(=O)C(=O)O']
22,2DH3DGLCA,2-dehydro-3-deoxyglucarate aldolase (EC 4.1.2.20),rxn02346,MNXR6097,None,4.1.2.20,None,"['2h3oppan[c]', 'pyr[c]']",R03277,"['2-Hydroxy-3-oxopropanoate', 'Pyruvate']","['C(=O)C(C(=O)[O-])O', 'CC(=O)C(=O)[O-]']"
23,2DHPL,2 dehydropantoate formaldehyde lyase 3 methyl 2 oxobutanoate forming,rxn00905,MNXR7147,None,None,None,['2dhp[c]'],R01216,['2-Dehydropantoate'],['CC(C)(CO)C(=O)C(=O)O']
24,2DMMQ8abcpp,"2-Demethylmenaquinone 8 uptake via ABC transporter, periplasmatic",None,None,None,None,None,"['2dmmq8[p]', 'atp[c]', 'h2o[c]']",None,"['2-Demethylmenaquinone 8', 'ATP', 'Water']","['CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1=CC(=O)C2=CC=CC=C2C1=O)C)C)C)C)C)C)C)C', 'C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N', 'O']"
25,2DMMQ8tex,2-Demethylmenaquinone 8 diffusion extracellular to periplasm,None,None,None,None,None,['2dmmq8[e]'],None,['2-Demethylmenaquinone 8'],['CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1=CC(=O)C2=CC=CC=C2C1=O)C)C)C)C)C)C)C)C']
26,2DOHMC5DPT,ATP:2-deoxy-5-hydroxymethylcytidine-5-diphosphate phosphotransferase,rxn00107,None,None,None,None,"['2do5hmc5dp[c]', 'atp[c]']",R00139,"['2-Deoxy-5-hydroxymethylcytidine-5-diphosphate', 'ATP']","[None, 'C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N']"
27,2H3OGL,2-Hydroxy-3-oxoadipate glyoxylate-lyase (carboxylating),rxn00332,None,None,None,None,"['2h3oapt[c]', 'co2[c]']",R00474,"['2-Hydroxy-3-oxoadipate', 'Carbon dioxide']","['C(CC(=O)[O-])C(=O)C(C(=O)[O-])O', 'C(=O)=O']"
28,2HAGH,S-(2-Hydroxyacyl)glutathione hydrolase,rxn06584,None,None,None,None,"['h2o[c]', 's2hagth[c]']",R04090,"['Water', 'S-(2-Hydroxyacyl)glutathione']","['O', None]"
29,2HATVACIDGLUC_GLCAASE,2-hydroxy-atorvastatin-acyl-glucuronide beta-glucuronidase,None,None,None,None,None,"['2hatvacidgluc[c]', 'h2o[c]']",None,"['2-hydroxy-atorvastatin-acyl-glucuronide', 'Water']","[None, 'O']"
30,2HATVACIDGLUCt2pp,"Glucuronate transport in via proton symport 2-hydroxy-atorvastatin-acyl-glucuronide, periplasmatic",None,None,None,None,None,"['2hatvacidgluc[p]', 'h[p]']",None,"['2-hydroxy-atorvastatin-acyl-glucuronide', 'proton']","[None, '[H+]']"
31,2HATVACIDGLUCtex,2-hydroxy-atorvastatin-acyl-glucuronide diffusion extracellular to periplasm,None,None,None,None,None,['2hatvacidgluc[e]'],None,['2-hydroxy-atorvastatin-acyl-glucuronide'],[None]
32,2HATVACIDtepp,"beta-glucuronidase reaction product export 2-hydroxy-atorvastatin-acid / ortho-hydroxy-atorvastatin acid, periplasmatic",None,None,None,None,None,['2hatvacid[c]'],None,['2-hydroxy-atorvastatin-acid / ortho-hydroxy-atorvastatin acid'],[None]
33,2HATVACIDtex,2-hydroxy-atorvastatin-acid / ortho-hydroxy-atorvastatin acid diffusion extracellular to periplasm,None,None,None,None,None,['2hatvacid[e]'],None,['2-hydroxy-atorvastatin-acid / ortho-hydroxy-atorvastatin acid'],[None]
34,2HATVLACGLUC_GLCAASE,2-hydroxy-atorvastatin-lactone-glucuronide beta-glucuronidase,None,None,None,None,None,"['2hatvlacgluc[c]', 'h2o[c]']",None,"['2-hydroxy-atorvastatin-lactone-glucuronide', 'Water']","[None, 'O']"
35,2HATVLACGLUCt2pp,"Glucuronate transport in via proton symport 2-hydroxy-atorvastatin-lactone-glucuronide, periplasmatic",None,None,None,None,None,"['2hatvlacgluc[p]', 'h[p]']",None,"['2-hydroxy-atorvastatin-lactone-glucuronide', 'proton']","[None, '[H+]']"
36,2HATVLACGLUCtex,2-hydroxy-atorvastatin-lactone-glucuronide diffusion extracellular to periplasm,None,None,None,None,None,['2hatvlacgluc[e]'],None,['2-hydroxy-atorvastatin-lactone-glucuronide'],[None]
37,2HATVLACtepp,"beta-glucuronidase reaction product export 2-hydroxy-atorvastatin-lactone / ortho-hydroxy-atorvastatin lactone, periplasmatic",None,None,None,None,None,['2hatvlac[c]'],None,['2-hydroxy-atorvastatin-lactone / ortho-hydroxy-atorvastatin lactone'],[None]
38,2HATVLACtex,2-hydroxy-atorvastatin-lactone / ortho-hydroxy-atorvastatin lactone diffusion extracellular to periplasm,None,None,None,None,None,['2hatvlac[e]'],None,['2-hydroxy-atorvastatin-lactone / ortho-hydroxy-atorvastatin lactone'],[None]
39,2HBO,2-Hydroxybutyrate:NAD+ Oxidoreductase,rxn00741,MNXR94796,R01000,1.1.1.27,2HBO; LDH2,"['2hb[c]', 'nad[c]']",R01000,"['2-Hydroxybutyrate', 'Nicotinamide adenine dinucleotide']","['CCC(C(=O)O)O', 'C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N']"
40,2HIBUPGLU_St2pp,"Glucuronate transport in via proton symport (in),2-hydroxy S-ibuprofen-glucuronide, periplasmatic",None,None,None,None,None,"['2hibupglu_S[p]', 'h[p]']",None,"['2-hydroxy S-ibuprofen-glucuronide', 'proton']","[None, '[H+]']"
41,2HIBUPGLU_Stex,2-hydroxy S-ibuprofen-glucuronide diffusion extracellular to periplasm,None,None,None,None,None,['2hibupglu_S[e]'],None,['2-hydroxy S-ibuprofen-glucuronide'],[None]
42,2HIBUP_S_GLCAASE,2-hydroxy-S-ibuprofen beta-glucuronidase,None,None,None,None,None,"['2hibupglu_S[c]', 'h2o[c]']",None,"['2-hydroxy S-ibuprofen-glucuronide', 'Water']","[None, 'O']"
43,2HIBUP_Stepp,"beta-glucuronidase reaction product export,2-hydroxy-S-ibuprofen, periplasmatic",None,None,None,None,None,['2hibup_S[c]'],None,['2-hydroxy-S-ibuprofen'],[None]
44,2HIBUP_Stex,2-hydroxy-S-ibuprofen diffusion extracellular to periplasm,None,None,None,None,None,['2hibup_S[e]'],None,['2-hydroxy-S-ibuprofen'],[None]
45,2HYOXPLACt2rpp,"2-Hydroxyphenylacetate transport in via proton symport reversible, periplasmatic",None,None,None,None,None,"['2hyoxplac[p]', 'h[p]']",None,"['2-Hydroxyphenylacetate', 'proton']","['C1=CC=C(C(=C1)CC(=O)O)O', '[H+]']"
46,2HYOXPLACtex,2-Hydroxyphenylacetate diffusion extracellular to periplasm,None,None,None,None,None,['2hyoxplac[e]'],None,['2-Hydroxyphenylacetate'],['C1=CC=C(C(=C1)CC(=O)O)O']
47,2IMZS,2-iminoacetate synthase,rxn42709,None,None,None,None,"['amet[c]', 'nadph[c]', 'tyr_L[c]']",None,"['S-Adenosyl-L-methionine', 'Nicotinamide adenine dinucleotide phosphate - reduced', 'L-tyrosine']","['C[S+](CCC(C(=O)[O-])N)CC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O', 'C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O', 'C1=CC(=CC=C1CC(C(=O)O)N)O']"
48,2INSD,2-Inosose dehydratase,rxn02007,MNXR73960,None,4.2.1.44,2INSD; R05659,['2ins[c]'],R02782,['2-Inosose'],['C1(C(C(C(=O)C(C1O)O)O)O)O']
49,2IPDPIPT,2-Isopentenyl-diphosphate:ATP delta2-isopentenyltransferase,rxn07841,None,None,None,None,"['atp[c]', 'dmpp[c]', 'h[c]']",R08051,"['ATP', 'Dimethylallyl diphosphate', 'proton']","['C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N', 'CC(=CCOP(=O)(O)OP(=O)(O)O)C', '[H+]']"
50,2MBCOATA,2-methylbutanoyl-CoA[acyl-carrier-protein] transferase,rxn05358,MNXR53357,None,2.3.1.180,None,"['2mbcoa[c]', 'ACP[c]']",None,"['2-methylbutanoyl-CoA(4-)', 'acyl carrier protein']","['CCC(C)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O', None]"
51,2OBUTt2rpp,"2-Oxobutanoate transport via proton symport, reversible, periplasmatic",None,None,None,None,None,"['2obut[p]', 'h[p]']",None,"['2-Oxobutanoate', 'proton']","['CCC(=O)C(=O)[O-]', '[H+]']"
52,2OBUTtex,2-Oxobutanoate diffusion extracellular to periplasm,None,None,None,None,None,['2obut[e]'],None,['2-Oxobutanoate'],['CCC(=O)C(=O)[O-]']
53,2OH_CBZ_GLC_GLCAASE,2-Hydroxy Carbamazepine Glucuronide beta-glucuronidase,None,None,None,None,None,"['2oh_cbz_glc[c]', 'h2o[c]']",None,"['2-Hydroxy Carbamazepine Glucuronide', 'Water']","[None, 'O']"
54,2OH_CBZ_GLCt2pp,"Glucuronate transport in via proton symport 2-Hydroxy Carbamazepine Glucuronide, periplasmatic",None,None,None,None,None,"['2oh_cbz_glc[p]', 'h[p]']",None,"['2-Hydroxy Carbamazepine Glucuronide', 'proton']","[None, '[H+]']"
55,2OH_CBZ_GLCtex,2-Hydroxy Carbamazepine Glucuronide diffusion extracellular to periplasm,None,None,None,None,None,['2oh_cbz_glc[e]'],None,['2-Hydroxy Carbamazepine Glucuronide'],[None]
56,2OH_CBZtepp,"beta-glucuronidase reaction product export 2-Hydroxycarbamazepine, periplasmatic",None,None,None,None,None,['2oh_cbz[c]'],None,['2-Hydroxycarbamazepine'],['C1=CC=C2C(=C1)C=CC3=C(N2C(=O)N)C=CC(=C3)O']
57,2OH_CBZtex,2-Hydroxycarbamazepine diffusion extracellular to periplasm,None,None,None,None,None,['2oh_cbz[e]'],None,['2-Hydroxycarbamazepine'],['C1=CC=C2C(=C1)C=CC3=C(N2C(=O)N)C=CC(=C3)O']
58,2OH_MTZ_GLC_GLCAASE,2-Hydroxymetronidazole Glucuronide beta-glucuronidase,None,None,None,None,None,"['2oh_mtz_glc[c]', 'h2o[c]']",None,"['2-Hydroxymetronidazole Glucuronide', 'Water']","[None, 'O']"
59,2OH_MTZ_GLCt2pp,"Glucuronate transport in via proton symport 2-Hydroxymetronidazole Glucuronide, periplasmatic",None,None,None,None,None,"['2oh_mtz_glc[p]', 'h[p]']",None,"['2-Hydroxymetronidazole Glucuronide', 'proton']","[None, '[H+]']"
60,2OH_MTZ_GLCtex,2-Hydroxymetronidazole Glucuronide diffusion extracellular to periplasm,None,None,None,None,None,['2oh_mtz_glc[e]'],None,['2-Hydroxymetronidazole Glucuronide'],[None]
61,2OH_MTZtepp,"beta-glucuronidase reaction product export 2-Hydroxymetronidazole, periplasmatic",None,None,None,None,None,['2oh_mtz[c]'],None,['2-Hydroxymetronidazole'],['C1=C(N(C(=N1)CO)CCO)[N+](=O)[O-]']
62,2OH_MTZtex,2-Hydroxymetronidazole diffusion extracellular to periplasm,None,None,None,None,None,['2oh_mtz[e]'],None,['2-Hydroxymetronidazole'],['C1=C(N(C(=N1)CO)CCO)[N+](=O)[O-]']
63,2OMMBOX,oxidoreductase,rxn04139,MNXR60025,None,1.14.13.-,None,"['2ommb[c]', 'nadph[c]', 'o2[c]']",R06146,"['2-Octaprenyl-3-methyl-6-methoxy-1,4-benzoquinone', 'Nicotinamide adenine dinucleotide phosphate - reduced', 'O2']","['CC1=C(C(=O)C(=CC1=O)OC)CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C', 'C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O', 'O=O']"
64,2OMPHH,2-octaprenyl-6-methoxyphenol hydroxylase,rxn12224,MNXR80794,None,1.14.13.-,None,"['2omph[c]', 'o2[c]']",None,"['2-Octaprenyl-6-methoxyphenol', 'O2']","['CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1=C(C(=CC=C1)OC)O)C)C)C)C)C)C)C)C', 'O=O']"
65,2S6HCC,2 succinyl 6 hydroxy 2 4 cyclohexadiene 1 carboxylate synthase,rxn04675,MNXR27537,None,"4.2.99.20,2.2.1.9",None,"['akg[c]', 'h[c]', 'ichor[c]']",None,"['2-Oxoglutarate', 'proton', 'Isochorismate']","['C(CC(=O)O)C(=O)C(=O)O', '[H+]', 'C=C(C(=O)O)OC1C=CC=C(C1O)C(=O)O']"
66,34DHOXPEGOX,"3, 4-Dihydroxyphenylethyleneglycol:NAD+ Oxidoreductase",rxn03333,MNXR94833,R04880,1.1.1.1,None,"['34dhmald[c]', 'h[c]', 'nadh[c]']",R04880,"['3,4-Dihydroxymandelaldehyde', 'proton', 'Nicotinamide adenine dinucleotide - reduced']","['C1=CC(=C(C=C1C(C=O)O)O)O', '[H+]', None]"
67,34HPPOR,4-Hydroxyphenylpyruvate:Oxygen Oxidoreductase,rxn01827,MNXR94843,R02521,1.13.11.27,34HPPOR; HPPDO1; U57,"['34hpp[c]', 'o2[c]']",R02521,"['3-(4-hydroxyphenyl)pyruvate', 'O2']","['C1=CC(=CC=C1CC(=O)C(=O)[O-])O', 'O=O']"
68,34HPPORdc,4-Hydroxyphenylpyruvate:oxygen oxidoreductase (decarboxylating),rxn11349,None,None,None,None,"['34hpp[c]', 'o2[c]']",None,"['3-(4-hydroxyphenyl)pyruvate', 'O2']","['C1=CC(=CC=C1CC(=O)C(=O)[O-])O', 'O=O']"
69,3CARLPDH,3-Carboxy-1-hydroxypropyl-ThPP:lipoamide,rxn02376,MNXR79613,None,1.2.4.2,None,"['HC01435[c]', 'lpam[c]']",R03316,"['3-Carboxy-1-hydroxypropyl-ThPP', 'lipoamide']","['CC1=C(SC(=[N+]1CC2=CN=C(N=C2N)C)C(CCC(=O)O)O)CCOP(=O)(O)OP(=O)(O)O', 'C1CSSC1CCCCC(=O)N']"
70,3DGUR,3-Dehydro-L-gulonate:NAD+ 2-oxidoreductase,rxn01912,MNXR5409,None,1.1.1.130,None,"['3dhguln[c]', 'nadp[c]']",R02639,"['3-dehydro-L-gulonate', 'Nicotinamide adenine dinucleotide phosphate']","['C(C(C(C(=O)C(C(=O)O)O)O)O)O', 'C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O)C(=O)N']"
71,3FCHDCOR,"3-fluorocyclohexadiene-cis,cis-1,2-diol-1-carboxylate:NAD+oxidoreductase (decarboxylating)",rxn07899,None,None,None,None,"['3fch1c[c]', 'nad[c]']",R08111,"['3-Fluorocyclohexadiene-cis,cis-1,2-diol-1-carboxylate', 'Nicotinamide adenine dinucleotide']","['C1=CC(C(C(=C1)F)O)(C(=O)O)O', 'C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N']"
72,3HACOAOR,(3S)-3-Hydroxyacyl-CoA:NAD+ oxidoreductase,rxn03860,None,None,None,None,"['hmpsuccoa[c]', 'nad[c]']",R05575,"['(Hydroxymethylphenyl)succinyl-CoA', 'Nicotinamide adenine dinucleotide']","['CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)C(CC(=O)O)C(C4=CC=CC=C4)O)O', 'C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N']"
