,Gene,Reaction,Name,ModelSEED_id,MetaNetX,KEGG_id,ecNumber,BIGG_id,Substrates,Substrate Name,Substrate SMILES
0,G_6666666__46__58896__46__peg__46__2230,23DHMPO,"(R)-2,3-Dihydroxy-3-methylpentanoate:NADP+ oxidoreductase",rxn03435,MNXR83171,R05068,['1.1.1.86'],None,"['23dhmp[c]', 'nadp[c]']","['(R)-2,3-Dihydroxy-3-methylpentanoate', 'Nicotinamide adenine dinucleotide phosphate']","['CCC(C)(C(C(=O)O)O)O', 'C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O)C(=O)N']"
1,G_6666666__46__58896__46__peg__46__2230,2AHBUTI,(S)-2-Aceto-2-hydroxybutanoate isomerase,rxn03436,MNXR76597,R05069,"['1.1.1.86, 5.4.99.3']",None,['2ahbut[c]'],['(S)-2-Aceto-2-hydroxybutanoate'],['CCC(C(=O)C)(C(=O)O)O']
2,G_6666666__46__58896__46__peg__46__1313,23PDE2,"2,3-Cyclic UMP 3-nucleotidohydrolase",rxn02522,MNXR34,R03538,"[['3.1.4.16'], ['3.1.4.16']]",23CN2P2; 23PDE2pp,"['23cump[c]', 'h2o[c]']","[""2',3'-cyclic UMP(1-)"", 'Water']","['C1=CN(C(=O)NC1=O)C2C3C(C(O2)CO)OP(=O)(O3)[O-]', 'O']"
3,G_6666666__46__58896__46__peg__46__1313,23PDE4,"2,3-Cyclic CMP 3-nucleotidohydrolase",rxn02762,MNXR35,R03929,"[['3.1.4.16'], ['3.1.4.16']]",23CN2P3; 23PDE4pp,"['23ccmp[c]', 'h2o[c]']","[""2',3'-Cyclic CMP"", 'Water']","['C1=CN(C(=O)N=C1N)C2C3C(C(O2)CO)OP(=O)(O3)[O-]', 'O']"
4,G_6666666__46__58896__46__peg__46__1313,23PDE7,"2,3-Cyclic AMP 3-nucleotidohydrolase",rxn02521,MNXR36,R03537,"[['3.1.4.16'], ['3.1.4.16']]",23CN2P1; 23PDE7pp,"['23camp[c]', 'h2o[c]']","[""2',3'-Cyclic AMP"", 'Water']","['C1=NC(=C2C(=N1)N(C=N2)C3C4C(C(O3)CO)OP(=O)(O4)O)N', 'O']"
5,G_6666666__46__58896__46__peg__46__1313,23PDE9,"2,3-Cyclic GMP 3-nucleotidohydrolase",rxn03483,MNXR37,R05135,"[['3.1.4.16'], ['3.1.4.16']]",23CN2P4; 23PDE9pp,"['23cgmp[c]', 'h2o[c]']","[""2',3'-Cyclic GMP"", 'Water']","['C1=NC2=C(N1C3C4C(C(O3)CO)OP(=O)(O4)O)N=C(NC2=O)N', 'O']"
6,G_6666666__46__58896__46__peg__46__1313,NT5C,Nicotinate D-Ribonucleotide Phosphohydrolase,rxn02400,MNXR102027,R03346,"['3.1.3.-, 3.1.3.5']",None,"['h2o[c]', 'nicrnt[c]']","['Water', 'Nicotinate D-ribonucleotide']","['O', 'C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)(O)O)O)O)C(=O)O']"
7,G_6666666__46__58896__46__peg__46__1313,NTD1,5-Nucleotidase (dUMP),rxn01521,MNXR102028,R02102,"[['3.1.3.5', '3.1.3.89'], ['3.1.3.5', '3.1.3.89'], None]",NTD1; NTD1pp; U24,"['dump[c]', 'h2o[c]']","['dUMP', 'Water']","['C1C(C(OC1N2C=CC(=O)NC2=O)COP(=O)(O)O)O', 'O']"
8,G_6666666__46__58896__46__peg__46__1313,NTD10,5-Nucleotidase (XMP),rxn01961,MNXR102029,R02719,"[['3.1.3.5'], ['3.1.3.5'], None]",NTD10; NTD10pp; U33,"['h2o[c]', 'xmp[c]']","['Water', 'Xanthosine 5-phosphate']","['O', 'C1=NC2=C(N1C3C(C(C(O3)COP(=O)([O-])[O-])O)O)NC(=O)NC2=O']"
9,G_6666666__46__58896__46__peg__46__1313,NTD11,5-Nucleotidase (IMP),rxn00831,MNXR102030,R01126,"[['3.1.3.5', '3.1.3.99'], ['3.1.3.5', '3.1.3.99'], None]",NTD11; NTD11pp; U32,"['h2o[c]', 'imp[c]']","['Water', 'IMP']","['O', 'C1=NC2=C(C(=O)N1)N=CN2C3C(C(C(O3)COP(=O)(O)O)O)O']"
