Constraints,M_Bacteroides_thetaiotaomicron_VPI_5482 + M_Bacteroides_uniformis_ATCC_8492,M_Bacteroides_thetaiotaomicron_VPI_5482 + M_Fusobacterium_nucleatum_subsp_nucleatum_ATCC_25586,M_Bacteroides_thetaiotaomicron_VPI_5482 + M_Roseburia_intestinalis_L1_82,M_Bacteroides_thetaiotaomicron_VPI_5482 + M_Streptococcus_parasanguinis_ATCC_15912
33 uM Fe,5.328596802841918e-06,0.000628756008886126,5.328596802841918e-06,0.0002928472781077699
0 uM Fe/H,-0.0,-0.0,-0.0,-0.0
"0,7 uM H; 8,2 uM Fe",1.0968071943638983e-06,2.2606168254480867e-07,1.0968071943638983e-06,2.2606168254480867e-07
"2,7 uM H; 33 uM Fe",4.406154575602415e-06,8.71952204101405e-07,4.406154575602415e-06,8.71952204101405e-07
"2,7 uM H",0.0002462369265872133,8.71952204101405e-07,0.0008885316200702917,8.71952204101405e-07
125 uM Fe,2.018407879864363e-05,0.0006436114908819293,2.018407879864363e-05,0.00030770276010357066
125 uM H,0.00028573313198039903,4.036815759728726e-05,0.0009280278254634786,4.036815759728726e-05
125 uM H; 2 mM Fe,0.0002644570760801412,4.036815759728726e-05,0.0002644570760801412,4.036815759728726e-05
125 uM H; 125 uM Fe,2.018407879864363e-05,4.036815759728726e-05,2.018407879864363e-05,2.805591274702959e-05
No constraints,0.000356283928589065,0.0007343463662892401,0.0009985786220721442,0.0003984376355108798
