Constraints,M_Bacteroides_thetaiotaomicron_VPI_5482 + M_Escherichia_coli_ED1a,M_Bacteroides_thetaiotaomicron_VPI_5482 + M_Streptococcus_salivarius_DSM_20560
33 uM Fe,0.0010029289571462435,1.0657193605683837e-05
0 uM Fe/H,0.0009956627923991552,-0.0
"0,7 uM H; 8,2 uM Fe",0.0009958888540817004,2.2606168254480867e-07
"2,7 uM H; 33 uM Fe",0.0009965347446032563,8.71952204101405e-07
"2,7 uM H",0.0009965347446032563,8.71952204101405e-07
125 uM Fe,0.0010177844391420455,4.036815759728726e-05
125 uM H,0.0010360309499964425,4.036815759728726e-05
125 uM H; 2 mM Fe,0.0010360309499964425,4.036815759728726e-05
125 uM H; 125 uM Fe,0.001015886073292764,4.036815759728726e-05
No constraints,0.001108519314549356,0.0004895126838819139
