,Constraints,Partner,Growth
0,33 uM Fe,M_Bacteroides_uniformis_ATCC_8492,5.328596802841918e-06
1,0 uM Fe/H,M_Bacteroides_uniformis_ATCC_8492,0.0
2,"0,7 uM H; 8,2 uM Fe",M_Bacteroides_uniformis_ATCC_8492,2.2606168254480864e-07
3,"2,7 uM H; 33 uM Fe",M_Bacteroides_uniformis_ATCC_8492,8.719522041014049e-07
4,"2,7 uM H",M_Bacteroides_uniformis_ATCC_8492,8.719522041014049e-07
5,125 uM Fe,M_Bacteroides_uniformis_ATCC_8492,2.018407879864363e-05
6,125 uM H,M_Bacteroides_uniformis_ATCC_8492,4.036815759728726e-05
7,125 uM H; 2 mM Fe,M_Bacteroides_uniformis_ATCC_8492,4.036815759728726e-05
8,125 uM H; 125 uM Fe,M_Bacteroides_uniformis_ATCC_8492,2.018407879864363e-05
9,No constraints,M_Bacteroides_uniformis_ATCC_8492,0.0001109189542059528
0,33 uM Fe,M_Fusobacterium_nucleatum_subsp_nucleatum_ATCC_25586,5.328596802841918e-06
1,0 uM Fe/H,M_Fusobacterium_nucleatum_subsp_nucleatum_ATCC_25586,0.0
2,"0,7 uM H; 8,2 uM Fe",M_Fusobacterium_nucleatum_subsp_nucleatum_ATCC_25586,0.0
3,"2,7 uM H; 33 uM Fe",M_Fusobacterium_nucleatum_subsp_nucleatum_ATCC_25586,0.0
4,"2,7 uM H",M_Fusobacterium_nucleatum_subsp_nucleatum_ATCC_25586,0.0
5,125 uM Fe,M_Fusobacterium_nucleatum_subsp_nucleatum_ATCC_25586,2.018407879864363e-05
6,125 uM H,M_Fusobacterium_nucleatum_subsp_nucleatum_ATCC_25586,9.805104283912787e-06
7,125 uM H; 2 mM Fe,M_Fusobacterium_nucleatum_subsp_nucleatum_ATCC_25586,9.80510428391279e-06
8,125 uM H; 125 uM Fe,M_Fusobacterium_nucleatum_subsp_nucleatum_ATCC_25586,9.80510428391279e-06
9,No constraints,M_Fusobacterium_nucleatum_subsp_nucleatum_ATCC_25586,0.0001109189542059528
0,33 uM Fe,M_Roseburia_intestinalis_L1_82,5.328596802841918e-06
1,0 uM Fe/H,M_Roseburia_intestinalis_L1_82,0.0
2,"0,7 uM H; 8,2 uM Fe",M_Roseburia_intestinalis_L1_82,2.2606168254480864e-07
3,"2,7 uM H; 33 uM Fe",M_Roseburia_intestinalis_L1_82,8.719522041014049e-07
4,"2,7 uM H",M_Roseburia_intestinalis_L1_82,8.719522041014049e-07
5,125 uM Fe,M_Roseburia_intestinalis_L1_82,2.018407879864363e-05
6,125 uM H,M_Roseburia_intestinalis_L1_82,4.036815759728726e-05
7,125 uM H; 2 mM Fe,M_Roseburia_intestinalis_L1_82,4.036815759728726e-05
8,125 uM H; 125 uM Fe,M_Roseburia_intestinalis_L1_82,2.018407879864363e-05
9,No constraints,M_Roseburia_intestinalis_L1_82,0.0001109189542059528
0,33 uM Fe,M_Streptococcus_parasanguinis_ATCC_15912,5.328596802841918e-06
1,0 uM Fe/H,M_Streptococcus_parasanguinis_ATCC_15912,0.0
2,"0,7 uM H; 8,2 uM Fe",M_Streptococcus_parasanguinis_ATCC_15912,2.2606168254480864e-07
3,"2,7 uM H; 33 uM Fe",M_Streptococcus_parasanguinis_ATCC_15912,8.719522041014049e-07
4,"2,7 uM H",M_Streptococcus_parasanguinis_ATCC_15912,8.719522041014049e-07
5,125 uM Fe,M_Streptococcus_parasanguinis_ATCC_15912,2.018407879864363e-05
6,125 uM H,M_Streptococcus_parasanguinis_ATCC_15912,4.036815759728726e-05
7,125 uM H; 2 mM Fe,M_Streptococcus_parasanguinis_ATCC_15912,4.036815759728726e-05
8,125 uM H; 125 uM Fe,M_Streptococcus_parasanguinis_ATCC_15912,2.018407879864363e-05
9,No constraints,M_Streptococcus_parasanguinis_ATCC_15912,0.00011091895420595276
