Constraints,M_Bacteroides_thetaiotaomicron_VPI_5482 + M_Bacteroides_uniformis_ATCC_8492,M_Bacteroides_thetaiotaomicron_VPI_5482 + M_Escherichia_coli_ED1a,M_Bacteroides_uniformis_ATCC_8492 + M_Escherichia_coli_ED1a,M_Bacteroides_thetaiotaomicron_VPI_5482 + M_Streptococcus_salivarius_DSM_20560
33 uM Fe,8.81631606225922e-07,5.328596802841919e-06,1.0564191871334543e-06,3.552397868561279e-06
0 uM Fe/H,-0.0,-0.0,-0.0,-0.0
"0,7 uM H; 8,2 uM Fe",2.1907209609250187e-07,2.2606168254480867e-07,2.625041616513432e-07,1.1303084127240432e-07
"2,7 uM H; 33 uM Fe",8.81631606225922e-07,8.71952204101405e-07,1.0564191871334543e-06,4.359761020507024e-07
"2,7 uM H",8.71952204101405e-07,8.71952204101405e-07,0.00020447081198592657,4.359761020507024e-07
125 uM Fe,3.3395136599466746e-06,2.018407879864363e-05,4.0015878300509635e-06,1.3456052532429087e-05
125 uM H,4.036815759728726e-05,4.036815759728726e-05,0.0002044708119859266,2.018407879864363e-05
125 uM H; 2 mM Fe,4.036815759728726e-05,4.036815759728726e-05,6.402540528081542e-05,2.018407879864363e-05
125 uM H; 125 uM Fe,3.3395136599466746e-06,2.018407879864363e-05,4.0015878300509635e-06,1.3456052532429087e-05
No constraints,0.0002044708119859264,0.00036972984735317597,0.00020447081198592668,0.000369729847353176
