Constraints,M_Bacteroides_thetaiotaomicron_VPI_5482 + M_Bacteroides_uniformis_ATCC_8492,M_Bacteroides_thetaiotaomicron_VPI_5482 + M_Escherichia_coli_ED1a,M_Bacteroides_uniformis_ATCC_8492 + M_Escherichia_coli_ED1a,M_Bacteroides_thetaiotaomicron_VPI_5482 + M_Streptococcus_salivarius_DSM_20560
33 uM Fe,"8.81631606225922e-07, 3.526526424903688e-06","5.328596802841918e-06, 2.6642984014209594e-06","4.225676748533818e-06, 5.282095935667271e-07","3.552397868561279e-06, 3.552397868561279e-06"
0 uM Fe/H,,,,
"0,7 uM H; 8,2 uM Fe","2.1907209609250187e-07, 8.762883843700075e-07","2.2606168254480864e-07, 1.1303084127240433e-07","1.0500166466053731e-06, 1.312520808256716e-07","1.1303084127240433e-07, 1.1303084127240432e-07"
"2,7 uM H; 33 uM Fe","8.81631606225922e-07, 3.526526424903688e-06","8.719522041014049e-07, 4.359761020507025e-07","4.225676748533818e-06, 5.282095935667271e-07","4.359761020507025e-07, 4.359761020507024e-07"
"2,7 uM H","8.719522041014049e-07, 4.0390906410420886e-05","8.719522041014049e-07, 4.359761020507025e-07","0.0008178832479437063, 0.00010223540599296329","4.359761020507025e-07, 4.359761020507024e-07"
125 uM Fe,"3.3395136599466746e-06, 1.3358054639786698e-05","2.018407879864363e-05, 1.0092039399321815e-05","1.6006351320203857e-05, 2.0007939150254817e-06","1.3456052532429088e-05, 1.3456052532429087e-05"
125 uM H,"4.036815759728726e-05, 0.00042584036257251176","4.036815759728726e-05, 2.018407879864363e-05","0.0008178832479437064, 0.0001022354059929633","2.018407879864363e-05, 2.018407879864363e-05"
125 uM H; 2 mM Fe,"4.036815759728726e-05, 0.00022408891848285398","4.036815759728726e-05, 2.018407879864363e-05","0.0002561016211232617, 3.201270264040771e-05","2.018407879864363e-05, 2.018407879864363e-05"
125 uM H; 125 uM Fe,"3.3395136599466746e-06, 1.3358054639786698e-05","2.018407879864363e-05, 1.0092039399321815e-05","1.6006351320203857e-05, 2.0007939150254817e-06","1.3456052532429087e-05, 1.3456052532429087e-05"
No constraints,"0.0002044708119859264, 0.0008178832479437056","0.00036972984735317597, 0.00018486492367658799","0.0008178832479437067, 0.00010223540599296334","0.000369729847353176, 0.000369729847353176"
