,Reaction,ModelSEED_id,MetaNetX,KEGG_id,ecNumber,Substrates,Substrate Name,Substrate SMILE
0,15DAPtex,rxn08305,,,,['15dap[e]'],"['1,5-Diaminopentane']",['C(CCN)CCN']
1,15DAPtpp,,,,,['15dap[c]'],"['1,5-Diaminopentane']",['C(CCN)CCN']
2,1HIBUPGLU_St2pp,,,,,"['1hibupglu_S[p]', 'h[p]']","['1-hydroxy S-ibuprofen-glucuronide', 'proton']","[None, '[H+]']"
3,1HIBUPGLU_Stex,,,,,['1hibupglu_S[e]'],['1-hydroxy S-ibuprofen-glucuronide'],[None]
4,1HIBUP_S_GLCAASE,,,,,"['1hibupglu_S[c]', 'h2o[c]']","['1-hydroxy S-ibuprofen-glucuronide', 'Water']","[None, 'O']"
5,1HIBUP_Stepp,,,,,['1hibup_S[c]'],['1-hydroxy S-ibuprofen'],[None]
6,1HIBUP_Stex,,,,,['1hibup_S[e]'],['1-hydroxy S-ibuprofen'],[None]
7,1HMDGLUC_GLCAASE,,,,,"['1hmdgluc[c]', 'h2o[c]']","['1-OH-midazolam-glucuronide', 'Water']","[None, 'O']"
8,1HMDGLUCt2pp,,,,,"['1hmdgluc[p]', 'h[p]']","['1-OH-midazolam-glucuronide', 'proton']","[None, '[H+]']"
9,1HMDGLUCtex,,,,,['1hmdgluc[e]'],['1-OH-midazolam-glucuronide'],[None]
10,1OHMDZtepp,,,,,['1ohmdz[c]'],['1-OH-midazolam'],[None]
11,1OHMDZtex,,,,,['1ohmdz[e]'],['1-OH-midazolam'],[None]
12,1P4H2CBXLAH,rxn01635,MNXR93752,,3.5.4.22,"['1p4h2cbxl[c]', 'h2o[c]', 'h[c]']","['1-Pyrroline-4-hydroxy-2-carboxylate', 'Water', 'proton']","['C1C(CN=C1C(=O)O)O', 'O', '[H+]']"
13,23DHMPO,rxn03435,MNXR83171,,1.1.1.86,"['23dhmp[c]', 'nadp[c]']","['(R)-2,3-Dihydroxy-3-methylpentanoate', 'Nicotinamide adenine dinucleotide phosphate']","['CCC(C)(C(C(=O)O)O)O', 'C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O)C(=O)N']"
14,23PDE2,rxn02522,MNXR34,,3.1.4.16,"['23cump[c]', 'h2o[c]']","['2,3-cyclic UMP(1-)', 'Water']","[None, 'O']"
15,23PDE4,rxn02762,MNXR35,,3.1.4.16,"['23ccmp[c]', 'h2o[c]']","['2,3-Cyclic CMP', 'Water']","[None, 'O']"
16,23PDE7,rxn02521,MNXR36,,3.1.4.16,"['23camp[c]', 'h2o[c]']","['2,3-Cyclic AMP', 'Water']","[None, 'O']"
17,23PDE9,rxn03483,MNXR37,,3.1.4.16,"['23cgmp[c]', 'h2o[c]']","['2,3-Cyclic GMP', 'Water']","[None, 'O']"
18,2AHBUTI,rxn03436,MNXR76597,,"1.1.1.86, 5.4.99.3",['2ahbut[c]'],['(S)-2-Aceto-2-hydroxybutanoate'],['CCC(C(=O)C)(C(=O)O)O']
19,2DDGLCNtex,rxn08320,,,,['2ddglcn[e]'],['2-Dehydro-3-deoxy-D-gluconate'],['C(C(C(CO)O)O)C(=O)C(=O)[O-]']
20,2DDPENGAL,rxn01307,,,,['2ddpent[c]'],['2-Dehydro-3-deoxy-L-pentonate'],['C(C(CO)O)C(=O)C(=O)O']
21,2DDPENTHL,rxn01633,MNXR7131,,4.2.1.43,['2ddpent[c]'],['2-Dehydro-3-deoxy-L-pentonate'],['C(C(CO)O)C(=O)C(=O)O']
22,2DH3DGLCA,rxn02346,MNXR6097,,4.1.2.20,"['2h3oppan[c]', 'pyr[c]']","['2-Hydroxy-3-oxopropanoate', 'Pyruvate']","['C(=O)C(C(=O)[O-])O', 'CC(=O)C(=O)[O-]']"
23,2DHPL,rxn00905,MNXR7147,,,['2dhp[c]'],['2-Dehydropantoate'],['CC(C)(CO)C(=O)C(=O)O']
24,2DMMQ8abcpp,,,,,"['2dmmq8[p]', 'atp[c]', 'h2o[c]']","['2-Demethylmenaquinone 8', 'ATP', 'Water']","['CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1=CC(=O)C2=CC=CC=C2C1=O)C)C)C)C)C)C)C)C', 'C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N', 'O']"
25,2DMMQ8tex,,,,,['2dmmq8[e]'],['2-Demethylmenaquinone 8'],['CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1=CC(=O)C2=CC=CC=C2C1=O)C)C)C)C)C)C)C)C']
26,2DOHMC5DPT,rxn00107,,,,"['2do5hmc5dp[c]', 'atp[c]']","['2-Deoxy-5-hydroxymethylcytidine-5-diphosphate', 'ATP']","[None, 'C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N']"
27,2H3OGL,rxn00332,,,,"['2h3oapt[c]', 'co2[c]']","['2-Hydroxy-3-oxoadipate', 'Carbon dioxide']","['C(CC(=O)[O-])C(=O)C(C(=O)[O-])O', 'C(=O)=O']"
28,2HAGH,rxn06584,,,,"['h2o[c]', 's2hagth[c]']","['Water', 'S-(2-Hydroxyacyl)glutathione']","['O', None]"
29,2HATVACIDGLUC_GLCAASE,,,,,"['2hatvacidgluc[c]', 'h2o[c]']","['2-hydroxy-atorvastatin-acyl-glucuronide', 'Water']","[None, 'O']"
30,2HATVACIDGLUCt2pp,,,,,"['2hatvacidgluc[p]', 'h[p]']","['2-hydroxy-atorvastatin-acyl-glucuronide', 'proton']","[None, '[H+]']"
31,2HATVACIDGLUCtex,,,,,['2hatvacidgluc[e]'],['2-hydroxy-atorvastatin-acyl-glucuronide'],[None]
32,2HATVACIDtepp,,,,,['2hatvacid[c]'],['2-hydroxy-atorvastatin-acid / ortho-hydroxy-atorvastatin acid'],[None]
33,2HATVACIDtex,,,,,['2hatvacid[e]'],['2-hydroxy-atorvastatin-acid / ortho-hydroxy-atorvastatin acid'],[None]
34,2HATVLACGLUC_GLCAASE,,,,,"['2hatvlacgluc[c]', 'h2o[c]']","['2-hydroxy-atorvastatin-lactone-glucuronide', 'Water']","[None, 'O']"
35,2HATVLACGLUCt2pp,,,,,"['2hatvlacgluc[p]', 'h[p]']","['2-hydroxy-atorvastatin-lactone-glucuronide', 'proton']","[None, '[H+]']"
36,2HATVLACGLUCtex,,,,,['2hatvlacgluc[e]'],['2-hydroxy-atorvastatin-lactone-glucuronide'],[None]
