organism,kingdom,phylum,class,order,family,genus,oxygenstat,metabolism,gram,mtype,genes,reactions,metabolites,draftcreator,draftcreated,platform,species,file,ncbiid,kbaseid,seedid,taxa_id,imgid,phenotype,id,summary_rank
Melainabacterium MEL.A1,Bacteria,Cyanobacteria,Melainabacteria,unclassified Melainabacteria,unclassified Melainabacteria,unclassified Melainabacteria,Obligate anaerobe (inferred from sequence),"Saccharolytic, fermentative (inferred from sequence)",Negative (inferred from sequence),Commensal (inferred from sequence),406.0,904.0,726.0,Emilie Muller,05/11/13,ModelSEED,MEL.A1,MEL_A1.json,,,,,,,MEL_A1,species
Candidatus Nitrososphaera gargensis Ga9.2,Archaea,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Aerobe,"Oxidation of ammonia, inorganic carbon",Uncharacterized,,434.0,1016.0,877.0,Laura Kutt,04/19/16,ModelSEED,Nitrososphaera,Nitrososphaera.json,1237085.0,kb|g.238840,,,,,Nitrososphaera,species
Clostridium acetobutylicum ATCC 824,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Anaerobe,"Saccharolytic, fermentative",Positive,,836.0,1305.0,1026.0,,,ModelSEED,acetobutylicum,acetobutylicum.json,272562.0,kb|g.602,Clostridium acetobutylicum ATCC 824 (272562.8),1488.0,,,acetobutylicum,species
,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,Obligate anaerobe,"Saccharolytic, respiratory or fermentative",Positive,Commensal,,,,Ines Thiele,06/29/12,ModelSEED,acidilactici,acidilactici.json,,,,1254.0,,,acidilactici,species
Propionibacterium acidipropionici ATCC 4875,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium,Facultative anaerobe,"Saccharolytic, fermentative",Positive,,929.0,1382.0,1055.0,chenry,04/15/16,Kbase,acidipropionici,acidipropionici.json,1171373.0,kb|g.25121,Propionibacterium acidipropionici ATCC 4875 (1171373.8),1748.0,2521172602.0,,acidipropionici,species
,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,Probiotic,,,,,,Kbase,acidophilus,acidophilus.json,,,,1579.0,,,acidophilus,species
Delftia acidovorans SPH-1,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Delftia,Facultative anaerobe,Fermentative,Negative,,1319.0,1692.0,1214.0,Laura Kutt,04/18/16,ModelSEED,acidovorans,acidovorans.json,398578.0,kb|g.1274,Delftia acidovorans SPH-1 (398578.3),80866.0,641228489.0,,acidovorans,species
Propionibacterium acnes KPA171202,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium,Facultative anaerobe,"Saccharolytic, fermentative",Positive,Commensal,793.0,1323.0,1003.0,Laura Kutt,06/02/16,Kbase,acnes,acnes.json,267747.0,kb|g.580,Propionibacterium acnes KPA171202 (267747.1),1747.0,637000215.0,,acnes,species
Granulicatella adiacens ATCC 49175,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Granulicatella,Facultative anaerobe,"Saccharolytic, fermentative",Positive,Commensal,504.0,995.0,783.0,Laura Kutt,04/17/16,Kbase,adiacens,adiacens.json,638301.0,kb|g.2710,Granulicatella adiacens ATCC 49175 (638301.3),46124.0,,,adiacens,species
Bifidobacterium adolescentis ATCC 15703,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Probiotic,538.0,1129.0,872.0,Eugen Bauer,08/03/14,Kbase,adolescentis,adolescentis.json,367928.0,,Bifidobacterium adolescentis ATCC 15703 (367928.6),1680.0,639633010.0,1.0,adolescentis,species
Rothia aeria F0474,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Rothia,Obligate aerobe,"Saccharolytic, respiratory",Positive,Opportunistic pathogen,574.0,1044.0,845.0,chenry,04/15/16,Kbase,aeria,aeria.json,1125724.0,kb|g.24422,Rothia aeria F0474 (1125724.3),172042.0,2513237283.0,,aeria,species
Collinsella aerofaciens ATCC 25986,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,540.0,878.0,732.0,Ines Thiele,04/20/12,ModelSEED,aerofaciens,aerofaciens.json,411903.0,,Collinsella aerofaciens ATCC 25986 (411903.6),74426.0,640612206.0,1.0,aerofaciens,species
Enterobacter aerogenes KCTC 2190,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacter,Facultative anaerobe,"Fermentative, respiratory",Negative,,1364.0,1840.0,1251.0,Laura Kutt,04/18/16,ModelSEED,aerogenes,aerogenes.json,1028307.0,kb|g.55,Enterobacter aerogenes KCTC 2190 (1028307.3),548.0,650716035.0,,aerogenes,species
