Constraints,M_Bacteroides_thetaiotaomicron_VPI_5482 + M_Bacteroides_uniformis_ATCC_8492,M_Bacteroides_thetaiotaomicron_VPI_5482 + M_Fusobacterium_nucleatum_subsp_nucleatum_ATCC_25586,M_Bacteroides_thetaiotaomicron_VPI_5482 + M_Roseburia_intestinalis_L1_82,M_Bacteroides_thetaiotaomicron_VPI_5482 + M_Streptococcus_parasanguinis_ATCC_15912
33 uM Fe,4.225676748533817e-06,-0.0,4.225676748533817e-06,-0.0
0 uM Fe/H,-0.0,-0.0,-0.0,-0.0
"0,7 uM H; 8,2 uM Fe",1.2760783291501815e-06,2.2606168254480864e-07,1.0968071943638983e-06,2.2606168254480864e-07
"2,7 uM H; 33 uM Fe",4.406154575602415e-06,8.719522041014049e-07,4.406154575602415e-06,8.719522041014049e-07
"2,7 uM H",-0.0,8.719522041014049e-07,-0.0,3.400632265702735e-07
125 uM Fe,1.6006351320203854e-05,-0.0,1.6006351320203854e-05,-0.0
125 uM H,-0.0,4.036815759728726e-05,-0.0,1.574366789677192e-05
125 uM H; 2 mM Fe,8.907098214726622e-05,4.036815759728726e-05,0.0002618411592945201,3.265874903995965e-05
125 uM H; 125 uM Fe,2.018407879864363e-05,4.036815759728726e-05,2.018407879864363e-05,2.805591274702959e-05
No constraints,8.907098214726628e-05,0.00011734742903846022,0.00029402763891134547,0.0001456123978865083
