,Constraints,Partner,Growth
0,33 uM Fe,M_Bacteroides_uniformis_ATCC_8492,0.0
1,0 uM Fe/H,M_Bacteroides_uniformis_ATCC_8492,0.0
2,"0,7 uM H; 8,2 uM Fe",M_Bacteroides_uniformis_ATCC_8492,2.2606168254480864e-07
3,"2,7 uM H; 33 uM Fe",M_Bacteroides_uniformis_ATCC_8492,8.719522041014049e-07
4,"2,7 uM H",M_Bacteroides_uniformis_ATCC_8492,0.0
5,125 uM Fe,M_Bacteroides_uniformis_ATCC_8492,0.0
6,125 uM H,M_Bacteroides_uniformis_ATCC_8492,0.0
7,125 uM H; 2 mM Fe,M_Bacteroides_uniformis_ATCC_8492,2.772973855148818e-05
8,125 uM H; 125 uM Fe,M_Bacteroides_uniformis_ATCC_8492,2.018407879864363e-05
9,No constraints,M_Bacteroides_uniformis_ATCC_8492,2.7729738551488228e-05
0,33 uM Fe,M_Fusobacterium_nucleatum_subsp_nucleatum_ATCC_25586,0.0
1,0 uM Fe/H,M_Fusobacterium_nucleatum_subsp_nucleatum_ATCC_25586,0.0
2,"0,7 uM H; 8,2 uM Fe",M_Fusobacterium_nucleatum_subsp_nucleatum_ATCC_25586,0.0
3,"2,7 uM H; 33 uM Fe",M_Fusobacterium_nucleatum_subsp_nucleatum_ATCC_25586,0.0
4,"2,7 uM H",M_Fusobacterium_nucleatum_subsp_nucleatum_ATCC_25586,0.0
5,125 uM Fe,M_Fusobacterium_nucleatum_subsp_nucleatum_ATCC_25586,0.0
6,125 uM H,M_Fusobacterium_nucleatum_subsp_nucleatum_ATCC_25586,0.0
7,125 uM H; 2 mM Fe,M_Fusobacterium_nucleatum_subsp_nucleatum_ATCC_25586,0.0
8,125 uM H; 125 uM Fe,M_Fusobacterium_nucleatum_subsp_nucleatum_ATCC_25586,0.0
9,No constraints,M_Fusobacterium_nucleatum_subsp_nucleatum_ATCC_25586,2.7729738551488184e-05
0,33 uM Fe,M_Roseburia_intestinalis_L1_82,0.0
1,0 uM Fe/H,M_Roseburia_intestinalis_L1_82,0.0
2,"0,7 uM H; 8,2 uM Fe",M_Roseburia_intestinalis_L1_82,2.2606168254480864e-07
3,"2,7 uM H; 33 uM Fe",M_Roseburia_intestinalis_L1_82,8.719522041014049e-07
4,"2,7 uM H",M_Roseburia_intestinalis_L1_82,0.0
5,125 uM Fe,M_Roseburia_intestinalis_L1_82,0.0
6,125 uM H,M_Roseburia_intestinalis_L1_82,0.0
7,125 uM H; 2 mM Fe,M_Roseburia_intestinalis_L1_82,2.7729738551488184e-05
8,125 uM H; 125 uM Fe,M_Roseburia_intestinalis_L1_82,2.018407879864363e-05
9,No constraints,M_Roseburia_intestinalis_L1_82,2.772973855148818e-05
0,33 uM Fe,M_Streptococcus_parasanguinis_ATCC_15912,0.0
1,0 uM Fe/H,M_Streptococcus_parasanguinis_ATCC_15912,0.0
2,"0,7 uM H; 8,2 uM Fe",M_Streptococcus_parasanguinis_ATCC_15912,2.2606168254480864e-07
3,"2,7 uM H; 33 uM Fe",M_Streptococcus_parasanguinis_ATCC_15912,8.719522041014049e-07
4,"2,7 uM H",M_Streptococcus_parasanguinis_ATCC_15912,0.0
5,125 uM Fe,M_Streptococcus_parasanguinis_ATCC_15912,0.0
6,125 uM H,M_Streptococcus_parasanguinis_ATCC_15912,0.0
7,125 uM H; 2 mM Fe,M_Streptococcus_parasanguinis_ATCC_15912,2.7729738551488187e-05
8,125 uM H; 125 uM Fe,M_Streptococcus_parasanguinis_ATCC_15912,2.018407879864363e-05
9,No constraints,M_Streptococcus_parasanguinis_ATCC_15912,2.7729738551488173e-05
