Constraints,M_Bacteroides_thetaiotaomicron_VPI_5482 + M_Escherichia_coli_ED1a,M_Bacteroides_thetaiotaomicron_VPI_5482 + M_Streptococcus_salivarius_DSM_20560
33 uM Fe,155.29748667670773,-0.0
0 uM Fe/H,155.29748667670776,-0.0
"0,7 uM H; 8,2 uM Fe",155.29748689773484,2.2606187912162582e-07
"2,7 uM H; 33 uM Fe",155.2974875292409,8.71952092807215e-07
"2,7 uM H",155.29748667745886,8.719522041014049e-07
125 uM Fe,155.29748667670773,-0.0
125 uM H,155.29748671148343,-0.0
125 uM H; 2 mM Fe,155.29752614583526,4.036815759728726e-05
125 uM H; 125 uM Fe,155.29750642865943,4.036815759728726e-05
No constraints,156.36505215198562,43.79231865128566
