,Gene,Reaction,Name,ModelSEED_id,MetaNetX,KEGG_id,ecNumber,BIGG_id,Substrates,Substrate Name,Substrate SMILES
0,536231.5.643_59.peg,1HIBUPGLU_Sabc,"Predicted glucuronide ABC transporter (in),1-hydroxy S-ibuprofen-glucuronide",None,None,None,[None],None,"['1hibupglu_S[e]', 'atp[c]', 'h2o[c]']","['1-hydroxy S-ibuprofen-glucuronide', 'ATP', 'Water']","[None, 'C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N', 'O']"
1,536231.5.643_59.peg,1HMDGLUCabc,Predicted glucuronide ABC transporter 1-OH-midazolam-glucuronide,None,None,None,[None],None,"['1hmdgluc[e]', 'atp[c]', 'h2o[c]']","['1-OH-midazolam-glucuronide', 'ATP', 'Water']","[None, 'C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N', 'O']"
2,536231.5.643_59.peg,2HATVACIDGLUCabc,Predicted glucuronide ABC transporter 2-hydroxy-atorvastatin-acyl-glucuronide,None,None,None,[None],None,"['2hatvacidgluc[e]', 'atp[c]', 'h2o[c]']","['2-hydroxy-atorvastatin-acyl-glucuronide', 'ATP', 'Water']","[None, 'C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N', 'O']"
3,536231.5.643_59.peg,2HATVLACGLUCabc,Predicted glucuronide ABC transporter 2-hydroxy-atorvastatin-lactone-glucuronide,None,None,None,[None],None,"['2hatvlacgluc[e]', 'atp[c]', 'h2o[c]']","['2-hydroxy-atorvastatin-lactone-glucuronide', 'ATP', 'Water']","[None, 'C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N', 'O']"
4,536231.5.643_59.peg,2HIBUPGLU_Sabc,"Predicted glucuronide ABC transporter (in),2-hydroxy S-ibuprofen-glucuronide",None,None,None,[None],None,"['2hibupglu_S[e]', 'atp[c]', 'h2o[c]']","['2-hydroxy S-ibuprofen-glucuronide', 'ATP', 'Water']","[None, 'C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N', 'O']"
5,536231.5.643_59.peg,2OH_CBZ_GLCabc,Predicted glucuronide ABC transporter 2-Hydroxy Carbamazepine Glucuronide,None,None,None,[None],None,"['2oh_cbz_glc[e]', 'atp[c]', 'h2o[c]']","['2-Hydroxy Carbamazepine Glucuronide', 'ATP', 'Water']","[None, 'C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N', 'O']"
6,536231.5.643_59.peg,2OH_MTZ_GLCabc,Predicted glucuronide ABC transporter 2-Hydroxymetronidazole Glucuronide,None,None,None,[None],None,"['2oh_mtz_glc[e]', 'atp[c]', 'h2o[c]']","['2-Hydroxymetronidazole Glucuronide', 'ATP', 'Water']","[None, 'C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N', 'O']"
7,536231.5.643_59.peg,3HIBUPGLU_Sabc,"Predicted glucuronide ABC transporter (in),3-hydroxy S-ibuprofen-glucuronide",None,None,None,[None],None,"['3hibupglu_S[e]', 'atp[c]', 'h2o[c]']","['3-hydroxy S-ibuprofen-glucuronide', 'ATP', 'Water']","[None, 'C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N', 'O']"
8,536231.5.643_59.peg,3OH_CBZ_GLCabc,Predicted glucuronide ABC transporter 3-Hydroxy Carbamazepine Glucuronide,None,None,None,[None],None,"['3oh_cbz_glc[e]', 'atp[c]', 'h2o[c]']","['3-Hydroxy Carbamazepine Glucuronide', 'ATP', 'Water']","[None, 'C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N', 'O']"
9,536231.5.643_59.peg,3OH_DLOR_GLCabc,Predicted glucuronide ABC transporter 3-Hydroxydesloratadine Glucuronide,None,None,None,[None],None,"['3oh_dlor_glc[e]', 'atp[c]', 'h2o[c]']","['3-Hydroxydesloratadine Glucuronide', 'ATP', 'Water']","[None, 'C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N', 'O']"
