,Gene,Reaction,Name,ModelSEED_id,MetaNetX,KEGG_id,ecNumber,BIGG_id,Substrates,Substrate Name,Substrate SMILES
0,WP_008763097_1,13PPDH2,"1,3-propanediol dehydrogenase",None,None,None,[None],None,"['3hppnl_c', 'h_c', 'nadph_c']","['3-Hydroxypropanal', 'H+', 'Nicotinamide adenine dinucleotide phosphate - reduced']","['C(CO)C=O', '[H+]', 'C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O']"
1,WP_008763097_1,13PPDH2_1,"1,3-propanediol dehydrogenase",None,None,None,[None],None,"['h_c', 'lald__L_c', 'nadph_c']","['H+', 'L-Lactaldehyde', 'Nicotinamide adenine dinucleotide phosphate - reduced']","['[H+]', 'CC(C=O)O', 'C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O']"
2,WP_008763097_1,ALDD2y,"Aldehyde dehydrogenase (acetaldehyde, NADP)",None,MNXR95750,None,"[['1.2.1.-', '1.2.1.4', '1.2.1.5']]",None,"['acald_c', 'h2o_c', 'nadp_c']","['Acetaldehyde', 'H2O H2O', 'Nicotinamide adenine dinucleotide phosphate']","['CC=O', None, 'C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O)C(=O)N']"
3,WP_008763097_1,ALDD3y,"Aldehyde dehydrogenase (propanal, NADP)",None,MNXR95754,None,[None],None,"['h2o_c', 'nadp_c', 'ppal_c']","['H2O H2O', 'Nicotinamide adenine dinucleotide phosphate', 'Propanal']","[None, 'C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O)C(=O)N', 'CCC=O']"
4,WP_011108119_1,24DECOAR,2 4 dienoyl CoA reductase,None,None,None,[None],None,"['dec4_2_coa_c', 'h_c', 'nadph_c']","['2 trans 4 cis decadienoyl CoA', 'H+', 'Nicotinamide adenine dinucleotide phosphate - reduced']","['CCCCCC=CC=CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O', '[H+]', 'C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O']"
5,WP_011108119_1,TNTR1,TNT nitroreductase 4 Hydroxylamino 2 6 dinitrotoluene,None,None,None,[None],None,"['h_c', 'nadph_c', 'tnt_c']","['H+', 'Nicotinamide adenine dinucleotide phosphate - reduced', '2 4 6 Trinitrotoluene']","['[H+]', 'C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O', None]"
6,WP_011108119_1,TNTR1x,TNT nitroreductase 4 Hydroxylamino 2 6 dinitrotoluene,None,None,None,[None],None,"['h_c', 'nadh_c', 'tnt_c']","['H+', 'Nicotinamide adenine dinucleotide - reduced', '2 4 6 Trinitrotoluene']","['[H+]', None, None]"
7,WP_011108119_1,TNTR2,TNT nitroreductase 2 Hydroxylamino 4 6 dinitrotoluene,None,None,None,[None],None,"['h_c', 'nadph_c', 'tnt_c']","['H+', 'Nicotinamide adenine dinucleotide phosphate - reduced', '2 4 6 Trinitrotoluene']","['[H+]', 'C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O', None]"
8,WP_011108119_1,TNTR2x,TNT nitroreductase 2 Hydroxylamino 4 6 dinitrotoluene,None,None,None,[None],None,"['h_c', 'nadh_c', 'tnt_c']","['H+', 'Nicotinamide adenine dinucleotide - reduced', '2 4 6 Trinitrotoluene']","['[H+]', None, None]"
9,WP_008761948_1,2DDARAA,2-dehydro-3-deoxy-D-arabinonate Aldolase,None,None,None,[None],None,['2ddara_c'],['2-dehydro-3-deoxy-D-arabinonate'],['C(C(CO)O)C(=O)C(=O)O']
